dateRep,day,month,year,cases,deaths,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
14/12/2020,14,12,2020,692,85,189.34973699
13/12/2020,13,12,2020,1194,68,194.02124033
12/12/2020,12,12,2020,1395,102,199.17761028
11/12/2020,11,12,2020,1533,81,204.64168404
10/12/2020,10,12,2020,1675,95,209.16399765
09/12/2020,9,12,2020,1324,102,213.60239203
08/12/2020,8,12,2020,1250,89,221.1271489
07/12/2020,7,12,2020,903,101,222.40458594
06/12/2020,6,12,2020,1383,98,227.95257893
05/12/2020,5,12,2020,1648,98,236.58693439
04/12/2020,4,12,2020,1882,100,245.00682963
03/12/2020,3,12,2020,2185,89,257.54809108
02/12/2020,2,12,2020,2199,111,267.09623362
01/12/2020,1,12,2020,1044,85,269.17556545
30/11/2020,30,11,2020,1193,98,279.93587453
29/11/2020,29,11,2020,1747,121,284.61670222
28/11/2020,28,11,2020,1981,101,294.76160367
27/11/2020,27,11,2020,2018,99,304.61745003
26/11/2020,26,11,2020,2151,87,316.72046666
25/11/2020,25,11,2020,2131,101,322.31508143
24/11/2020,24,11,2020,1387,84,324.66481964
23/11/2020,23,11,2020,1498,103,325.61590415
22/11/2020,22,11,2020,2309,108,329.26172811
21/11/2020,21,11,2020,2551,72,331.55552016
20/11/2020,20,11,2020,3227,59,330.58578694
19/11/2020,19,11,2020,3209,60,327.67658726
18/11/2020,18,11,2020,2422,63,322.42697373
17/11/2020,17,11,2020,2198,59,320.03993809
16/11/2020,16,11,2020,1695,71,310.27733531
15/11/2020,15,11,2020,2835,38,310.11882123
14/11/2020,14,11,2020,3038,38,302.84582202
13/11/2020,13,11,2020,3316,50,290.23929007
12/11/2020,12,11,2020,2751,43,270.61151657
11/11/2020,11,11,2020,2383,41,259.38498959
10/11/2020,10,11,2020,1489,41,248.87643818
09/11/2020,9,11,2020,1889,35,241.65006076
08/11/2020,8,11,2020,2555,34,231.40259137
07/11/2020,7,11,2020,2447,13,216.29713148
06/11/2020,6,11,2020,2915,29,201.32221261
05/11/2020,5,11,2020,2646,18,182.36579288
04/11/2020,4,11,2020,2166,13,165.75911137
03/11/2020,3,11,2020,1151,7,151.78189879
02/11/2020,2,11,2020,1678,9,145.07768542
01/11/2020,1,11,2020,2055,6,133.51548156
31/10/2020,31,10,2020,1686,5,118.84826649
30/10/2020,30,10,2020,1211,12,107.81755103
29/10/2020,29,10,2020,1547,10,100.74036335
28/10/2020,28,10,2020,1256,12,90.3716773
27/10/2020,27,10,2020,714,7,82.46462175
26/10/2020,26,10,2020,790,10,78.54839141
25/10/2020,25,10,2020,935,5,73.79296886
24/10/2020,24,10,2020,841,10,67.9279477
23/10/2020,23,10,2020,882,15,63.73198662
22/10/2020,22,10,2020,865,6,59.55467426
21/10/2020,21,10,2020,667,8,55.27479396
20/10/2020,20,10,2020,432,11,52.77586603
19/10/2020,19,10,2020,438,9,51.54505078
18/10/2020,18,10,2020,482,10,49.59625996
17/10/2020,17,10,2020,503,8,47.591523
16/10/2020,16,10,2020,452,13,47.19057561
15/10/2020,15,10,2020,435,7,46.80827693
14/10/2020,14,10,2020,408,6,46.03435522
13/10/2020,13,10,2020,294,7,46.10895009
12/10/2020,12,10,2020,280,13,45.81989499
11/10/2020,11,10,2020,306,5,45.22313608
10/10/2020,10,10,2020,391,1,45.3070553
09/10/2020,9,10,2020,434,6,44.32799772
08/10/2020,8,10,2020,406,4,43.46083243
07/10/2020,7,10,2020,399,3,43.01326325
06/10/2020,6,10,2020,300,8,42.39785562
05/10/2020,5,10,2020,229,4,43.82448239
04/10/2020,4,10,2020,267,7,43.21839912
03/10/2020,3,10,2020,460,5,42.96664146
02/10/2020,2,10,2020,411,2,41.82906979
01/10/2020,1,10,2020,352,3,41.34420317
30/09/2020,30,9,2020,416,5,40.9619045
29/09/2020,29,9,2020,263,4,39.97352255
28/09/2020,28,9,2020,216,3,39.19960084
27/09/2020,27,9,2020,315,7,39.08770855
26/09/2020,26,9,2020,286,3,38.96649189
25/09/2020,25,9,2020,341,9,38.92919446
24/09/2020,24,9,2020,358,5,39.21824956
23/09/2020,23,9,2020,333,8,38.19257018
22/09/2020,22,9,2020,453,6,36.66337548
21/09/2020,21,9,2020,164,7,33.73552708
20/09/2020,20,9,2020,240,4,33.49309377
19/09/2020,19,9,2020,338,2,32.98957844
18/09/2020,18,9,2020,359,9,31.72146576
17/09/2020,17,9,2020,311,3,30.62119152
16/09/2020,16,9,2020,310,3,29.8938916
15/09/2020,15,9,2020,180,5,28.93348273
14/09/2020,14,9,2020,204,3,28.96145581
13/09/2020,13,9,2020,302,2,28.52321098
12/09/2020,12,9,2020,282,3,27.35766624
11/09/2020,11,9,2020,372,4,27.23644959
10/09/2020,10,9,2020,248,3,26.10820227
09/09/2020,9,9,2020,169,1,26.52779838
08/09/2020,8,9,2020,139,5,26.51847402
07/09/2020,7,9,2020,138,4,26.66766375
06/09/2020,6,9,2020,186,1,28.01969565
05/09/2020,5,9,2020,202,1,28.55118406
04/09/2020,4,9,2020,241,5,28.56983277
03/09/2020,3,9,2020,233,2,28.653752
02/09/2020,2,9,2020,207,5,28.45794048
01/09/2020,1,9,2020,183,4,28.85888787
31/08/2020,31,8,2020,157,2,28.52321098
30/08/2020,30,8,2020,177,1,29.08267246
29/08/2020,29,8,2020,269,5,29.539566
28/08/2020,28,8,2020,251,6,29.37172756
27/08/2020,27,8,2020,293,5,28.93348273
26/08/2020,26,8,2020,168,1,28.39266997
25/08/2020,25,8,2020,155,0,28.62577892
24/08/2020,24,8,2020,283,2,28.35537254
23/08/2020,23,8,2020,243,2,27.60009955
22/08/2020,22,8,2020,204,3,26.74225861
21/08/2020,21,8,2020,250,0,26.21077021
20/08/2020,20,8,2020,212,3,25.27833442
19/08/2020,19,8,2020,250,2,24.40184477
18/08/2020,18,8,2020,147,2,23.17102952
17/08/2020,17,8,2020,217,2,22.49967575
16/08/2020,16,8,2020,226,3,21.17561692
15/08/2020,15,8,2020,251,2,20.09399139
14/08/2020,14,8,2020,204,5,18.46222875
13/08/2020,13,8,2020,235,2,17.166143
12/08/2020,12,8,2020,193,1,15.50640728
11/08/2020,11,8,2020,126,1,14.19167281
10/08/2020,10,8,2020,202,1,13.33383188
09/08/2020,9,8,2020,151,1,11.70206923
08/08/2020,8,8,2020,147,0,10.58314628
07/08/2020,7,8,2020,150,0,9.44557461
06/08/2020,6,8,2020,118,1,8.35462473
05/08/2020,5,8,2020,118,0,7.52475687
04/08/2020,4,8,2020,75,1,6.76015952
03/08/2020,3,8,2020,75,2,6.10745446
02/08/2020,2,8,2020,110,0,5.6319122
01/08/2020,1,8,2020,76,3,4.78339563
31/07/2020,31,7,2020,65,0,4.30785338
30/07/2020,30,7,2020,57,0,3.97217649
29/07/2020,29,7,2020,52,1,3.69244575
28/07/2020,28,7,2020,34,0,3.73906754
27/07/2020,27,7,2020,27,1,3.6364996
26/07/2020,26,7,2020,31,0,3.67379703
25/07/2020,25,7,2020,25,0,3.75771626
24/07/2020,24,7,2020,33,1,4.08406878
23/07/2020,23,7,2020,29,3,4.24258287
22/07/2020,22,7,2020,36,2,4.2798803
21/07/2020,21,7,2020,5,1,4.19596108
20/07/2020,20,7,2020,24,0,4.55028668
19/07/2020,19,7,2020,19,0,4.40109695
18/07/2020,18,7,2020,25,1,4.4570431
17/07/2020,17,7,2020,29,0,4.48501618
16/07/2020,16,7,2020,27,0,4.4570431
15/07/2020,15,7,2020,57,0,4.41974567
14/07/2020,14,7,2020,23,0,4.06542007
13/07/2020,13,7,2020,31,0,3.98150085
12/07/2020,12,7,2020,40,0,3.78568933
11/07/2020,11,7,2020,60,0,3.62717524
10/07/2020,10,7,2020,50,0,3.27284964
09/07/2020,9,7,2020,33,0,2.90919968
08/07/2020,8,7,2020,27,1,2.67609073
07/07/2020,7,7,2020,43,0,2.56419844
06/07/2020,6,7,2020,8,0,2.35906256
05/07/2020,5,7,2020,25,0,2.37771128
04/07/2020,4,7,2020,28,0,2.32176513
03/07/2020,3,7,2020,26,0,2.15392669
02/07/2020,2,7,2020,23,0,2.13527797
01/07/2020,1,7,2020,19,1,2.43365743
30/06/2020,30,6,2020,14,0,2.38703564
29/06/2020,29,6,2020,10,0,2.37771128
28/06/2020,28,6,2020,23,0,2.36838692
27/06/2020,27,6,2020,22,0,2.19122412
26/06/2020,26,6,2020,11,1,2.1725754
25/06/2020,25,6,2020,8,0,2.25649463
24/06/2020,24,6,2020,15,0,2.27514334
23/06/2020,23,6,2020,21,0,2.21919719
22/06/2020,22,6,2020,10,0,2.50825229
21/06/2020,21,6,2020,19,1,2.5735228
20/06/2020,20,6,2020,10,1,2.51757665
